ano_semestre,total_questoes,freq_A,freq_B,freq_C,freq_D,freq_E
2010.1,54,9,12,10,9,14
2010.2,54,7,11,11,11,14
2011.2,54,11,11,14,10,8
2012.1,54,10,12,12,9,11
2012.2,54,11,10,10,13,10
2013.1,54,11,12,9,12,10
2013.2,54,9,12,10,15,8
2014.1,54,7,9,14,17,7
2014.2,54,9,11,10,10,14
2015.1,54,11,9,13,12,9
2015.2,54,11,12,10,12,9
2016.1,54,9,8,17,12,8
2016.2,54,10,11,13,11,9
2017.1,54,7,15,10,8,14
2017.2,54,9,12,10,11,12
2018.1,54,8,15,9,12,10
2024.1,54,11,5,9,17,12
2024.2,54,8,5,10,17,14
2025.1_A,54,11,11,11,11,10
2025.1_B,54,9,11,10,12,12
